Company Name,Date,Title,Description,Sentiment Score,Sentiment,URL
MARUTI,2025-02-20T16:30:28Z,"Volvo, Mercedes, BMW paid too: Govt defends $1.4bn tax demand on VW","Other carmakers also paid a 30% duty on cars brought into the country after breaking them down into individual parts, says govt in Bombay High Court",-0.25,Negative,https://www.livemint.com/companies/govt-customs-duty-ckd-30-1-4bn-tax-demand-vw-skoda-volvo-mercedes-bmw-11740056912639.html
MARUTI,2025-02-20T16:09:22Z,Saurabh Srivastava Rejoins Housr As Chief Business Officer — Marketing Mind,"Housr, a luxury co-living brand in India, has appointed Saurabh Srivastava as Chief Business Officer (CBO). Srivastava, who has previously worked with Housr",0.3818,Positive,https://marketingmind.in/saurabh-srivastava-rejoins-housr-as-cbo/
MARUTI,2025-02-20T15:58:40Z,Ahead of Market: 10 things that will decide stock market action on Friday,"Indian markets closed lower on Thursday, dragged by banking and auto stocks, while U.S. tariff concerns pressured sentiment. Analysts see potential recovery driven by easing inflation and RBI rate cuts.",-0.8316,Negative,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-friday/articleshow/118425358.cms
MARUTI,2025-02-20T13:49:51Z,Markets end lower on US trade policy concerns; broader markets outperform,"The broader markets significantly outperformed the benchmark indices, with the Nifty Midcap 100 rising 1.26 per cent and the Nifty Smallcap 100 surging 1.43 per cent",0.4767,Positive,https://www.thehindubusinessline.com/markets/stock-markets/markets-end-lower-on-us-trade-policy-concerns-broader-markets-outperform/article69243111.ece
MARUTI,2025-02-20T11:34:01Z,"Sensex, Nifty slip for third day in a row amid uncertainty over US tariff measures, weak Asian peers","BSE Sensex drops 203.22 points or 0.27 per cent to settle at 75,735.96; Nifty dips 19.75 points or 0.09 per cent to 22,913.15",-0.6124,Negative,https://www.thehindubusinessline.com/markets/sensex-nifty-slip-for-third-day-in-a-row-amid-uncertainty-over-us-tariff-measures-weak-asian-peers/article69242452.ece
MARUTI,2025-02-20T11:11:36Z,"2 reasons why Nomura not ruling out Nifty fall towards 21,800 by December","The brokerage projects Nifty in the 21,800-25,700 range, based on 17.0-20.0X December 2026F earnings. In a best-case scenario, Nifty could reach 25,700, reflecting a 12% upside. However, the Japanese brokerage advises investors to stay selective and avoid ove…",-0.8455,Negative,https://economictimes.indiatimes.com/markets/stocks/news/2-reasons-why-nomura-not-ruling-out-nifty-fall-towards-21800-by-december/articleshow/118418160.cms
MARUTI,2025-02-20T10:50:38Z,Stock market update: Stocks that hit 52-week lows on NSE in today's trade,"HDFC Bank,  Maruti Suzuki,  Tech Mahindra,  Tata Consumer and  HCL Tech were among the top losers on NSE in today's trade.",0.128,Positive,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse-in-todays-trade/articleshow/118417564.cms
MARUTI,2025-02-20T10:33:45Z,"Gainers & Losers: HDFC Bank, Radico Khaitan among 7 stocks in limelight today","Indian markets closed lower as banking stocks and Maruti Suzuki declined amid US tariff concerns. Rajesh Exports, Netweb Technologies, and Radico Khaitan surged, while Gujarat Toolroom and financial stocks saw declines.",-0.8885,Negative,https://m.economictimes.com/markets/web-stories/gainers-amp-losers-hdfc-bank-radico-khaitan-among-7-stocks-in-limelight-today/slideshow/118416920.cms
MARUTI,2025-02-20T10:29:18Z,CNBC's Inside India newsletter: How natural gas could help solve the India-U.S. trade dispute,"Analysts expect India to double its LNG imports this decade, precisely when U.S. is gearing up for exports.",0.34,Positive,https://www.cnbc.com/2025/02/20/how-natural-gas-could-help-solve-the-india-us-trade-dispute.html
MARUTI,2025-02-20T10:11:23Z,"Banks drag D-Street lower amid tariff threats; Sensex down 203 pts, Nifty below 22,950","Stock Market Highlights: Indian benchmark indices ended in the red on Thursday, dragged down by losses in heavyweight banks and automaker Maruti Suzuki while uncertainty over U.S. tariff measures continued to weigh on investor sentiment.",-0.9153,Negative,https://economictimes.indiatimes.com/markets/stocks/news/banks-drag-d-street-lower-amid-tariff-threats-sensex-ends-203-pts-down-nifty-below-22950/articleshow/118416081.cms
MARUTI,2025-02-20T08:39:10Z,"Future Mega Trends: Manish Chokhani's view on EVs, AI, and Energy","Market expert Manish Chokhani, in an interview with ET Now, shared his insights on market trends and global investment opportunities. He discussed the growing digital economy, the potential of platform companies like Zomato, Paytm, and Policybazaar and explor…",0.9325,Positive,https://m.economictimes.com/markets/stocks/news/future-mega-trends-manish-chokhanis-view-on-evs-ai-and-energy/market-trends-and-global-investment-opportunities/slideshow/118413374.cms
